fullVisitorId,transactionId,lon,lat
10062821214180540361,e2rl-xejn,-79.38670349,43.6641655
10062821214180540361,s8ya-4a6y,-79.38670349,43.6641655
10062821214180540361,s8zq-q6u5,-79.38670349,43.6641655
10062821214180540361,s6xn-6ueo,-79.38670349,43.6641655
10063226400791458596,s1ik-6vvz,-114.1082336,51.0104949
10064123582196614385,s4gx-xq7b,-79.39360046,43.67582321
10065628433765992184,s5ew-9rq4,-79.3857683,43.648953
10065628433765992184,s2yz-f0af,-79.4252897,43.6382827
10065628433765992184,v6tg-vp56,-79.4252897,43.6382827
10066148274596157863,s7li-t906,-79.5071852,43.6173416
10066148274596157863,s2as-3lcj,-79.5071852,43.6173416
10066444102425820257,s5bu-b2a3,-79.6671711,43.5990511
1006646727923039668,s8ef-a5rp,-123.1864844,49.2701578
10067754563696935022,a8ca-rnxf,-73.5922098,45.5265076
10069308261418942556,s3me-lmns,-79.3941351,43.6773661
10069580611928208198,s4sb-uzq9,-79.3974508,43.7055979
10069580611928208198,s4dy-vbpw,-79.3974508,43.7055979
10069726758137132538,p2aq-rym7,-79.409729,43.66110229
10069726758137132538,s9hp-hidr,-79.409729,43.66110229
10071861827906777616,s5pk-5mjc,-79.4476835,43.665271
10072488956179708970,s1zz-pxgx,-79.3790357,43.6417772
10073583152795768242,s4uk-4u1f,-123.0584001,49.2705494
10073583152795768242,s3bo-x5gp,-123.0584001,49.2705494
10073758490670779594,s9ur-aug3,-73.5818342,45.5434829
10073758490670779594,s9ur-i4gj,-73.5818342,45.5434829
10073983970888231222,s7ci-gp0r,-71.2132769,46.8177594
10074396666552943128,s3kd-m1sa,-79.3641843,43.6666886
10074746359018256164,s5yk-xz77,-79.3904818,43.6494233
1007523812632178119,s0nn-0ymt,-123.1604421,49.265433
1007603097843377924,s9mf-c1vp,-79.42598724,43.66019058
10077075371064152464,s6qe-77bd,-123.2386099,49.2595889
10077204638675934866,s3jh-kf1n,-79.42969513,43.65899658
10077204638675934866,s2kd-nbgy,-79.42969513,43.65899658
10077676753937117067,s2il-0lie,-73.5691504,45.4804784
10077701855413472590,s0gh-pouj,-73.6177597,45.5189743
10078947189598477440,s2km-e196,-73.59320831,45.46763229
10079558184261185340,s8dg-4710,-114.0645737,51.0402928
10079558184261185340,s0az-x2on,-114.0645737,51.0402928
10079594449392545356,s4hf-693z,-79.3615073,43.6596295
10079807223397863561,s3cq-4fgm,-79.6368778,43.5963765
10079807223397863561,j1nq-x6op,-79.4812119,43.6449404
1008041278759562726,s4pn-sclr,-79.4119836,43.6888971
10082136907123012860,s1ci-b5sz,-79.4548965,43.6933965
10083687333181432,s1mj-t7ra,-123.0169743,49.282235
1008478550543368647,s8iy-sapd,-73.5709402,45.5064688
10085156943132795169,s0jk-zplx,-79.6320252,43.5908503
10085246362330608105,s7hf-5tm3,-73.5720939,45.5154537
10086689117935218975,s3pl-en04,-123.2585763,49.2646158
10086689117935218975,s3pl-zrx2,-123.2531154,49.2588217
10086689117935218975,s3pl-gdza,-123.2585763,49.2646158
10086689117935218975,s8ef-ejea,-123.2585763,49.2646158
